source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
3162256,Dahna Toor Coal Mine,AFG,coal-mining,35.70499225,67.31219552,trace_67.31219552_35.70499225,owner,North Coal Enterprise (NCE),100000131989,100.0,North Coal Enterprise (NCE),100000131989,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.099744,,{11680},{11680}
3162257,Garmak Project Coal Mine,AFG,coal-mining,35.733,67.308,trace_67.308_35.733,owner,Khoshak Brothers,100000131795,100.0,Khoshak Brothers,100000131795,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.099761,,{11681},{11681}
14855,Shadashak Coal Mine,AFG,coal-mining,35.863255,67.596674,trace_67.596674_35.863255,owner,North Coal Enterprise (NCE),100000131989,100.0,North Coal Enterprise (NCE),100000131989,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.89413,,{11682},{11682}
3162259,Tala Wa Barfak Coal Mine,AFG,coal-mining,35.33194,68.12,trace_68.12_35.33194,owner,North Coal Enterprise (NCE),100000131989,100.0,North Coal Enterprise (NCE),100000131989,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.099776,,{11683},{11683}
3162260,Valius Coal Mine,ALB,coal-mining,41.39151824,19.73642639,trace_19.73642639_41.39151824,owner,unknown,100000132388,100.0,unknown,100000132388,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.09979,,{11684},{11684}
14856,Río Turbio Coal Mine,ARG,coal-mining,-51.538363,-72.324353,trace_-72.324353_-51.538363,owner,Yacimientos Carboníferos de Río Turbio,100001000714,100.0,Yacimientos Carboníferos de Río Turbio,100001000714,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894158,,{11685},{11685}
14857,Airly Coal Mine,AUS,coal-mining,-33.1130709,150.0149367,trace_150.0149367_-33.1130709,owner,Banpu,100001001130,100.0,Centennial Coal Company,100001001131,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894185,,{11686},"{6204,11686}"
14858,Appin Coal Mine,AUS,coal-mining,-34.211194,150.792736,trace_150.792736_-34.211194,owner,South32,100001010133,100.0,Illawarra Coal,100000131694,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.89421,,{11687},{11687}
14859,Aquila Coal Mine,AUS,coal-mining,-22.9816055,148.5373229,trace_148.5373229_-22.9816055,owner,Mitsui & Co,100000000651,30.0,Capcoal,100001000775,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894236,,{11688},"{5832,11688}"
14859,Aquila Coal Mine,AUS,coal-mining,-22.9816055,148.5373229,trace_148.5373229_-22.9816055,owner,Anglo American,100001000407,70.0,Capcoal,100001000775,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894263,,{11688},"{5837,11688}"
14860,Ashton Coal Mine,AUS,coal-mining,-32.468942,151.078493,trace_151.078493_-32.468942,owner,Yancoal Australia,100000132368,100.0,Yancoal Australia,100000132368,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.89429,,{11689},"{7048,11689}"
14861,Baralaba Coal Mine,AUS,coal-mining,-24.13680401,149.7936125,trace_149.7936125_-24.13680401,owner,AMCI Group,100000131213,100.0,Baralaba Coal,100000131345,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894315,,{11690},{11690}
14862,Bengalla Coal Mine,AUS,coal-mining,-32.268076,150.84,trace_150.84_-32.268076,owner,Taiwan Power,100000002128,20.0,Taiwan Power,100000002128,20.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894341,,{11691},"{5365,11691}"
14862,Bengalla Coal Mine,AUS,coal-mining,-32.268076,150.84,trace_150.84_-32.268076,owner,New Hope Group,100000131974,80.0,New Hope Group,100000131974,80.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894366,,{11691},{11691}
14863,Blackwater Coal Mine,AUS,coal-mining,-23.685585,148.807361,trace_148.807361_-23.685585,owner,BHP Group,100000000015,50.0,BHP Billiton Mitsubishi Alliance,100001000762,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894396,,{11692},"{5827,6453,11692}"
14863,Blackwater Coal Mine,AUS,coal-mining,-23.685585,148.807361,trace_148.807361_-23.685585,owner,Mitsubishi,100000000650,50.0,BHP Billiton Mitsubishi Alliance,100001000762,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894427,,{11692},"{5826,5827,6453,11692}"
14864,Blackwood Coal Mine,AUS,coal-mining,-41.559798,148.130942,trace_148.130942_-41.559798,owner,Cement Australia,100000131474,100.0,Cornwall Coal,100000131517,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894452,,{11693},{11693}
14865,Blair Athol Coal Mine,AUS,coal-mining,-22.703221,147.54353,trace_147.54353_-22.703221,owner,TerraCom,100000132284,100.0,Orion Mining,100000132008,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894476,,{11694},{11694}
14866,Bloomfield Coal Mine,AUS,coal-mining,-32.7928986,151.5841947,trace_151.5841947_-32.7928986,owner,Bloomfield Group,100000131403,100.0,Bloomfield Collieries,100000131402,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894501,,{11695},{11695}
16648,Bluff Coal Mine,AUS,coal-mining,-23.58974663,149.0786443,trace_149.0786443_-23.58974663,owner,Bowen Coking Coal,100001010170,100.0,Bowen Coking Coal,100001010170,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.977864,,{11696},"{7040,11696}"
14867,Boggabri Coal Mine,AUS,coal-mining,-30.6116182,150.1550389,trace_150.1550389_-30.6116182,owner,Chugoku Electric Power,100000001982,10.0,Chugoku Electric Power,100000001982,10.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894528,,{11697},"{7003,11697}"
14867,Boggabri Coal Mine,AUS,coal-mining,-30.6116182,150.1550389,trace_150.1550389_-30.6116182,owner,Idemitsu Kosan,100000000639,80.0,Boggabri Coal,100000131406,80.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894557,,{11697},"{7001,7002,11697}"
14867,Boggabri Coal Mine,AUS,coal-mining,-30.6116182,150.1550389,trace_150.1550389_-30.6116182,owner,Nippon Steel,100000000652,10.0,NS Boggabri,100000131960,10.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894587,,{11697},"{5833,7004,7005,11697}"
14868,Broadmeadow Coal Mine,AUS,coal-mining,-21.8025693,147.98,trace_147.98_-21.8025693,owner,Mitsubishi,100000000650,50.0,BM Alliance Coal Operations,100000131306,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894612,,{11698},{11698}
14868,Broadmeadow Coal Mine,AUS,coal-mining,-21.8025693,147.98,trace_147.98_-21.8025693,owner,BHP,100000131309,50.0,BM Alliance Coal Operations,100000131306,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894637,,{11698},{11698}
14869,Bulga Coal Mine,AUS,coal-mining,-32.6795434,151.1000279,trace_151.1000279_-32.6795434,owner,Nippon Steel,100000000652,87.5,Nippon Steel Australia,100000131983,87.5,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894665,,{11699},"{5833,7004,11699}"
14869,Bulga Coal Mine,AUS,coal-mining,-32.6795434,151.1000279,trace_151.1000279_-32.6795434,owner,Glencore,100001000400,10.375,Saxonvale Coal,100000132183,12.5,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894691,,{11699},"{7039,11699}"
14869,Bulga Coal Mine,AUS,coal-mining,-32.6795434,151.1000279,trace_151.1000279_-32.6795434,owner,ENEOS Australia,100001010571,1.9,Saxonvale Coal,100000132183,12.5,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.89475,,{11699},"{7039,11699}"
16649,Byerwen Coal Mine,AUS,coal-mining,-21.242828,147.835392,trace_147.835392_-21.242828,owner,JFE Holdings,100000000643,15.0,Byerwen Coal,100000131449,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.977921,,{11700},"{1971,1972,6386,11700}"
16649,Byerwen Coal Mine,AUS,coal-mining,-21.242828,147.835392,trace_147.835392_-21.242828,owner,QCoal,100000132087,85.0,Byerwen Coal,100000131449,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.977933,,{11700},{11700}
14870,Callide Coal Mine,AUS,coal-mining,-24.310921,150.622173,trace_150.622173_-24.310921,owner,Batchfire Resources,100000131352,100.0,Batchfire Resources,100000131352,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.89478,,{11701},{11701}
14871,Cameby Downs Coal Mine,AUS,coal-mining,-26.6181915,150.3548193,trace_150.3548193_-26.6181915,owner,Shandong Energy Group,100000000252,100.0,Syntech Resources,100000132258,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894876,,{11702},{11702}
3162277,CapCoal Mine Complex,AUS,coal-mining,-22.990997,148.580506,trace_148.580506_-22.990997,owner,Mitsui & Co,100000000651,30.0,Capcoal,100001000775,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.099806,,{11703},"{5832,11703}"
3162277,CapCoal Mine Complex,AUS,coal-mining,-22.990997,148.580506,trace_148.580506_-22.990997,owner,Anglo American,100001000407,70.0,Capcoal,100001000775,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.099821,,{11703},"{5837,11703}"
14872,Carborough Downs Coal Mine,AUS,coal-mining,-21.9502,148.2094,trace_148.2094_-21.9502,owner,ITOCHU,100000001237,50.0,Fitzroy Australia Resources,100001010416,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894909,,{11704},"{6370,6986,6987,11704}"
14872,Carborough Downs Coal Mine,AUS,coal-mining,-21.9502,148.2094,trace_148.2094_-21.9502,owner,American Metals & Coal International,100001000431,50.0,Fitzroy Australia Resources,100001010416,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.894941,,{11704},"{6370,6986,6987,11704}"
16768,Carmichael Coal Project,AUS,coal-mining,-22.073611,146.329722,trace_146.329722_-22.073611,owner,Adani Enterprises,100001000761,100.0,Adani Mining,100001000566,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.980378,,{11705},"{5922,11705}"
14873,Caval Ridge Coal Mine,AUS,coal-mining,-22.1056069,148.0475444,trace_148.0475444_-22.1056069,owner,BHP Group,100000000015,50.0,BHP Billiton Mitsubishi Alliance,100001000762,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.89497,,{11706},"{5827,6453,11706}"
14873,Caval Ridge Coal Mine,AUS,coal-mining,-22.1056069,148.0475444,trace_148.0475444_-22.1056069,owner,Mitsubishi,100000000650,50.0,BHP Billiton Mitsubishi Alliance,100001000762,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895,,{11706},"{5826,5827,6453,11706}"
14874,Chain Valley Coal Mine,AUS,coal-mining,-33.163056,151.549665,trace_151.549665_-33.163056,owner,Sev.en Global Investments,100001010410,100.0,Great Southern Energy,100000131643,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895027,,{11707},"{6976,11707}"
14875,Clarence Colliery,AUS,coal-mining,-33.4597,150.2479,trace_150.2479_-33.4597,owner,SK Energy,100000132156,15.0,Centennial Coal - Clarence Joint Venture,100000132387,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895052,,{11708},{11708}
14875,Clarence Colliery,AUS,coal-mining,-33.4597,150.2479,trace_150.2479_-33.4597,owner,Banpu,100001001130,85.0,Centennial Coal - Clarence Joint Venture,100000132387,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895078,,{11708},"{6204,11708}"
14876,Clermont Coal Mine,AUS,coal-mining,-22.7201075,147.6195648,trace_147.6195648_-22.7201075,owner,J-POWER,100000000641,22.0,J-POWER,100000000641,22.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895104,,{11709},"{5633,11709}"
14876,Clermont Coal Mine,AUS,coal-mining,-22.7201075,147.6195648,trace_147.6195648_-22.7201075,owner,Sumitomo,100000000657,37.0,Sumitomo,100000000657,37.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895131,,{11709},"{5686,11709}"
14876,Clermont Coal Mine,AUS,coal-mining,-22.7201075,147.6195648,trace_147.6195648_-22.7201075,owner,other,100000001753,4.0,other,100000001753,4.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895155,,{11709},{11709}
14876,Clermont Coal Mine,AUS,coal-mining,-22.7201075,147.6195648,trace_147.6195648_-22.7201075,owner,Glencore,100001000400,37.0,Glencore,100001000400,37.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895181,,{11709},"{5862,11709}"
14877,Collinsville Coal Mine,AUS,coal-mining,-20.5567302,147.8148229,trace_147.8148229_-20.5567302,owner,Glencore,100001000400,100.0,NC Coal Company,100001000810,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895208,,{11710},"{5861,11710}"
14878,Commodore Coal Mine,AUS,coal-mining,-27.9343501,151.2554422,trace_151.2554422_-27.9343501,owner,InterGen,100000003317,100.0,InterGen,100000003317,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895232,,{11711},{11711}
14879,Cook Colliery,AUS,coal-mining,-23.7159074,148.8893157,trace_148.8893157_-23.7159074,owner,QCoal,100000132087,100.0,QCoal,100000132087,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895255,,{11712},{11712}
14880,Coppabella Coal Mine,AUS,coal-mining,-21.844554,148.427187,trace_148.427187_-21.844554,owner,Marubeni,100000000649,7.000000000000001,Marubeni,100000000649,7.000000000000001,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895282,,{11713},"{5684,11713}"
14880,Coppabella Coal Mine,AUS,coal-mining,-21.844554,148.427187,trace_148.427187_-21.844554,owner,other,100000001753,5.6999999999999895,other,100000001753,5.6999999999999895,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895306,,{11713},{11713}
14880,Coppabella Coal Mine,AUS,coal-mining,-21.844554,148.427187,trace_148.427187_-21.844554,owner,CITIC Australia Coppabella,100000131453,14.000000000000002,CITIC Australia Coppabella,100000131453,14.000000000000002,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.89533,,{11713},{11713}
14880,Coppabella Coal Mine,AUS,coal-mining,-21.844554,148.427187,trace_148.427187_-21.844554,owner,Peabody Energy,100001000402,73.3,Peabody Energy,100001000402,73.3,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895354,,{11713},{11713}
3162287,Cows Coal Mine,AUS,coal-mining,-20.63668673,147.85009,trace_147.85009_-20.63668673,owner,QCoal,100000132087,100.0,QCoal,100000132087,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.099835,,{11714},{11714}
14881,Cullenswood Coal Mine,AUS,coal-mining,-41.6125381,148.1254475,trace_148.1254475_-41.6125381,owner,Cement Australia,100000131474,100.0,Cement Australia,100000131474,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895378,,{11715},{11715}
14882,Curragh Coal Mine,AUS,coal-mining,-23.493219,148.842723,trace_148.842723_-23.493219,owner,Coronado Global Resources,100001000488,100.0,Coronado Global Resources,100001000488,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895402,,{11716},{11716}
14883,Dartbrook Coal Mine,AUS,coal-mining,-32.1929124,150.894282,trace_150.894282_-32.1929124,owner,Australian Pacific Coal,100000131301,100.0,Australian Pacific Coal,100000131301,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895427,,{11717},{11717}
14884,Daunia Coal Mine,AUS,coal-mining,-22.0410919,148.2702015,trace_148.2702015_-22.0410919,owner,BHP Group,100000000015,50.0,BHP Billiton Mitsubishi Alliance,100001000762,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895456,,{11718},"{5827,6453,11718}"
14884,Daunia Coal Mine,AUS,coal-mining,-22.0410919,148.2702015,trace_148.2702015_-22.0410919,owner,Mitsubishi,100000000650,50.0,BHP Billiton Mitsubishi Alliance,100001000762,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895487,,{11718},"{5826,5827,6453,11718}"
14885,Dawson Complex,AUS,coal-mining,-24.6168211,150.0504833,trace_150.0504833_-24.6168211,owner,Mitsui & Co,100000000651,49.0,Dawson Joint Venture,100001000778,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895513,,{11719},"{5832,11719}"
14885,Dawson Complex,AUS,coal-mining,-24.6168211,150.0504833,trace_150.0504833_-24.6168211,owner,Anglo American,100001000407,51.0,Dawson Joint Venture,100001000778,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.89554,,{11719},"{5837,11719}"
14886,Dendrobium Coal Mine,AUS,coal-mining,-34.419776,150.826135,trace_150.826135_-34.419776,owner,South32,100001010133,100.0,South32,100001010133,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895564,,{11720},{11720}
14887,Drake Coal Mine,AUS,coal-mining,-20.705189,147.812727,trace_147.812727_-20.705189,owner,QCoal,100000132087,100.0,QCoal,100000132087,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895587,,{11721},{11721}
14888,Ensham Coal Mine,AUS,coal-mining,-23.454464,148.497455,trace_148.497455_-23.454464,owner,LX International,100000001558,15.0,Bowen Investment (Australia),100000131414,15.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.89562,,{11722},"{7044,7045,11722}"
14888,Ensham Coal Mine,AUS,coal-mining,-23.454464,148.497455,trace_148.497455_-23.454464,owner,Thungela Resources,100001000764,63.74999999999999,Sungela,100000132247,85.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895847,,{11722},"{7041,7042,7043,11722}"
14888,Ensham Coal Mine,AUS,coal-mining,-23.454464,148.497455,trace_148.497455_-23.454464,owner,Mayfair Corporations Group,100001010575,10.625,Sungela,100000132247,85.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895875,,{11722},"{7043,11722}"
14888,Ensham Coal Mine,AUS,coal-mining,-23.454464,148.497455,trace_148.497455_-23.454464,owner,Audley Energy,100001010576,10.625,Sungela,100000132247,85.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895901,,{11722},"{7043,11722}"
14889,Foxleigh Coal Mine,AUS,coal-mining,-22.997778,148.803889,trace_148.803889_-22.997778,owner,Nippon Steel,100000000652,10.0,Nippon Steel Australia,100000131983,10.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.89593,,{11723},"{5833,7004,11723}"
14889,Foxleigh Coal Mine,AUS,coal-mining,-22.997778,148.803889,trace_148.803889_-22.997778,owner,POSCO Australia,100000132056,20.0,POSCO Australia,100000132056,20.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895954,,{11723},{11723}
14889,Foxleigh Coal Mine,AUS,coal-mining,-22.997778,148.803889,trace_148.803889_-22.997778,owner,QMetco - Taurus Resources,100000132088,70.0,QMetco - Taurus Resources,100000132088,70.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.895978,,{11723},{11723}
3162297,Glendell Coal Mine,AUS,coal-mining,-32.45121527,151.0783194,trace_151.0783194_-32.45121527,owner,Glencore,100001000400,100.0,Glendell Tenements,100001000814,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.099852,,{11724},"{5863,5864,11724}"
14890,Goonyella-Riverside Coal Mine,AUS,coal-mining,-21.792321,147.962045,trace_147.962045_-21.792321,owner,BHP Group,100000000015,50.0,BHP Billiton Mitsubishi Alliance,100001000762,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896008,,{11725},"{5827,6453,11725}"
14890,Goonyella-Riverside Coal Mine,AUS,coal-mining,-21.792321,147.962045,trace_147.962045_-21.792321,owner,Mitsubishi,100000000650,50.0,BHP Billiton Mitsubishi Alliance,100001000762,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896115,,{11725},"{5826,5827,6453,11725}"
14891,Gregory Crinum Coal Mines,AUS,coal-mining,-23.1491384,148.3875874,trace_148.3875874_-23.1491384,owner,Sojitz,100000000656,100.0,Sojitz Blue,100001010423,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896142,,{11726},"{6993,11726}"
16516,Grosvenor Coal Mine,AUS,coal-mining,-21.97420531,148.0106197,trace_148.0106197_-21.97420531,owner,Nippon Steel,100000000652,5.0,Grosvenor,100001000780,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.964949,,{11727},"{5840,6354,11727}"
16516,Grosvenor Coal Mine,AUS,coal-mining,-21.97420531,148.0106197,trace_148.0106197_-21.97420531,owner,Anglo American,100001000407,88.0,Grosvenor,100001000780,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.964963,,{11727},"{5830,5837,11727}"
14892,Hail Creek Coal Mine,AUS,coal-mining,-21.484811,148.37,trace_148.37_-21.484811,owner,Marubeni,100000000649,12.0,Marubeni,100000000649,12.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896168,,{11728},"{5684,11728}"
14892,Hail Creek Coal Mine,AUS,coal-mining,-21.484811,148.37,trace_148.37_-21.484811,owner,other,100000001753,3.0,other,100000001753,3.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896192,,{11728},{11728}
14892,Hail Creek Coal Mine,AUS,coal-mining,-21.484811,148.37,trace_148.37_-21.484811,owner,Glencore,100001000400,85.0,Glencore,100001000400,85.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896218,,{11728},"{5862,11728}"
14893,Hunter Valley North Coal Mine,AUS,coal-mining,-32.4657844,150.9734981,trace_150.9734981_-32.4657844,owner,Yancoal Australia,100000132368,51.0,Yancoal Australia,100000132368,51.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896244,,{11729},"{7048,11729}"
14893,Hunter Valley North Coal Mine,AUS,coal-mining,-32.4657844,150.9734981,trace_150.9734981_-32.4657844,owner,Glencore,100001000400,49.0,Glencore,100001000400,49.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.89627,,{11729},"{5862,11729}"
14894,Hunter Valley South Coal Mine,AUS,coal-mining,-32.5245107,150.9819012,trace_150.9819012_-32.5245107,owner,Yancoal Australia,100000132368,51.0,Yancoal Australia,100000132368,51.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896296,,{11730},"{7048,11730}"
14894,Hunter Valley South Coal Mine,AUS,coal-mining,-32.5245107,150.9819012,trace_150.9819012_-32.5245107,owner,Glencore,100001000400,49.0,Glencore,100001000400,49.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896322,,{11730},"{5862,11730}"
3162303,Isaac Plains East Coal Mine,AUS,coal-mining,-21.9718375,148.1132931,trace_148.1132931_-21.9718375,owner,Stanmore Resources,100001010097,100.0,Stanmore Resources,100001010097,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.099868,,{11731},"{6330,11731}"
14895,Jax Coal Mine,AUS,coal-mining,-20.713736,147.860166,trace_147.860166_-20.713736,owner,QCoal,100000132087,100.0,QCoal,100000132087,100.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896346,,{11732},{11732}
14896,Jellinbah Coal Mine,AUS,coal-mining,-23.406874,148.950644,trace_148.950644_-23.406874,owner,Marubeni,100000000649,15.0,Marubeni Resources Development,100000131887,15.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896372,,{11733},"{7032,11733}"
14896,Jellinbah Coal Mine,AUS,coal-mining,-23.406874,148.950644,trace_148.950644_-23.406874,owner,Jellinbah Group,100001000577,70.0,Jellinbah Group,100001000577,70.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896399,,{11733},"{7033,11733}"
14896,Jellinbah Coal Mine,AUS,coal-mining,-23.406874,148.950644,trace_148.950644_-23.406874,owner,Sojitz,100000000656,15.0,Sojitz Development,100001000614,15.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896425,,{11733},"{5764,11733}"
14897,Kestrel Coal Mine,AUS,coal-mining,-23.236333,148.3583273,trace_148.3583273_-23.236333,owner,EMR Capital,100000131558,41.6,Kestrel Coal Resources,100000131793,80.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896451,,{11734},"{7034,11734}"
14897,Kestrel Coal Mine,AUS,coal-mining,-23.236333,148.3583273,trace_148.3583273_-23.236333,owner,PT Adaro Energy Indonesia,100001000782,38.4,Kestrel Coal Resources,100000131793,80.0,coal_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:33.896479,,{11734},"{6999,7034,11734}"
